East Tennessee St,East Tennessee St.,ETSU,East Tennessee State(ETS,,
Coastal Carolina,Coastal Carolina,Coast Carolina,Coastal Carolina,Coastal Carolina,
Duquesne,Duquesne,Duquesne,Duquesne,,
Eastern Michigan,Eastern Michigan,E Michigan,Eastern Michigan,,
North Florida,North Florida,North Florida,North Florida(UNF),North Florida,
Northern Illinois,Northern Illinois,N Illinois,Northern Illinois,,
Wagner,Wagner,Wagner,Wagner,Wagner,
Utah State,Utah St.,Utah State,Utah State,,
Bucknell,Bucknell,Bucknell,Bucknell,Bucknell,
Detroit,Detroit,Detroit,Detroit,,
Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,
Minnesota,Minnesota,Minnesota,Minnesota,,
Tennessee St,Tennessee St.,Tennessee St,Tennessee State,,
Wyoming,Wyoming,Wyoming,Wyoming,,
Texas Southern,Texas Southern,Texas Southern,Texas Southern,Texas Southern,
Murray State,Murray St.,Murray State,Murray State,,
Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,,
Colorado State,Colorado St.,Colorado State,Colorado State,,
Furman,Furman,Furman,Furman,,
Missouri,Missouri,Missouri,Missouri,,
Fordham,Fordham,Fordham,Fordham,,
Indiana State,Indiana St.,Indiana State,Indiana State,,
Mercer,Mercer,Mercer,Mercer,,
Kent State,Kent St.,Kent State,Kent State,,
UMass,Massachusetts,UMass,Massachusetts,,
Western Kentucky,Western Kentucky,W Kentucky,Western Kentucky,,
Tennnessee Tech,Tennessee Tech,Tenn Tech,Tennessee Tech,Tennessee Tech,
Wofford,Wofford,Wofford,Wofford,,
Loyola (CHI),Loyola Chicago,Loyola (CHI),Loyola-Chicago,,
Fairfield,Fairfield,Fairfield,Fairfield,,
Auburn,Auburn,Auburn,Auburn,,
Washington St,Washington St.,Washington St,Washington State,,
Georgia State,Georgia St.,Georgia State,Georgia State,,
Eastern Washington,Eastern Washington,E Washington,Eastern Washington,,
Western Michigan,Western Michigan,W Michigan,Western Michigan,,
DePaul,DePaul,DePaul,DePaul,,
Western Carolina,Western Carolina,W Carolina,Western Carolina,,
Eastern Kentucky,Eastern Kentucky,E Kentucky,Eastern Kentucky,,
NJIT,NJIT,NJIT,NJIT(New Jersey Tech),,
Harvard,Harvard,Harvard,Harvard,,
UNC Greensboro,UNC Greensboro,UNCG,NC Greensboro,,
Sam Houston,Sam Houston St.,Sam Houston,Sam Houston State,,
UCF,UCF,UCF,Central Florida(UCF),,
Charlotte,Charlotte,Charlotte,Charlotte,,
IUPUI,IUPUI,IUPUI,IUPUI,,
Georgia Southern,Georgia Southern,Ga Southern,Georgia Southern,,
North Dakota,North Dakota,North Dakota,North Dakota,,
Rider,Rider,Rider,Rider,,
Denver,Denver,Denver,Denver,,
San Francisco,San Francisco,San Francisco,San Francisco,,
St Peter's,Saint Peter's,St Peter's,Saint Peter's,,
Navy,Navy,Navy,Navy,,
Cal Poly,Cal Poly,Cal Poly,Cal Poly-SLO,,
East Carolina,East Carolina,ECU,East Carolina,,
George Mason,George Mason,George Mason,George Mason,,
Florida Gulf Coast,Florida Gulf Coast,FGCU,Florida Gulf Coast,Florida Gulf Coast,
South Dakota,South Dakota,South Dakota,South Dakota,,
Boston U,Boston University,Boston U,Boston U.,,
Idaho,Idaho,Idaho,Idaho,,
Portland,Portland,Portland,Portland,,
Radford,Radford,Radford,Radford,,
UT Martin,Tennessee Martin,UT Martin,Tennessee-Martin,Tennessee-Martin,
FIU,FIU,FIU,Fla. International,,
UC Riverside,UC Riverside,UC Riverside,UC Riverside,,
Bowling Green,Bowling Green,Bowling Green,Bowling Green,,
Army,Army,Army,Army,Army,
Samford,Samford,Samford,Samford,,
Dartmouth,Dartmouth,Dartmouth,Dartmouth,,
Tulane,Tulane,Tulane,Tulane,,
Gardner-Webb,Gardner Webb,Gardner-Webb,Gardner-Webb,,
Canisius,Canisius,Canisius,Canisius,,
St John's,St. John's,St John's,St. John's,,
South Florida,South Florida,USF,South Florida,,
Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,,
Loyola Marymount,Loyola Marymount,Loyola Mary,Loyola Marymount,,
UTEP,UTEP,UTEP,UTEP,,
CS Northridge,Cal St. Northridge,CS Northridge,CS Northridge,,
Texas State,Texas St.,Texas State,Texas State,,
New Hampshire,New Hampshire,UNH,New Hampshire,,
Western Illinois,Western Illinois,W Illinois,Western Illinois,,
Jackson State,Jackson St.,Jackson State,Jackson State,Jackson State,
Southern,Southern,Southern,Southern U.,Southern,
Pacific,Pacific,Pacific,Pacific,,
Missouri State,Missouri St.,Missouri State,Missouri State,,
Northern Kentucky,Northern Kentucky,N Kentucky,Northern Kentucky,,
Hampton,Hampton,Hampton,Hampton,Hampton,
Colgate,Colgate,Colgate,Colgate,,
Saint Louis,Saint Louis,Saint Louis,Saint Louis,,
Manhattan,Manhattan,Manhattan,Manhattan,,
Air Force,Air Force,Air Force,Air Force,,
Kennesaw St,Kennesaw St.,Kennesaw St,Kennesaw State,,
Santa Clara,Santa Clara,Santa Clara,Santa Clara,,
Drexel,Drexel,Drexel,Drexel,,
Portland State,Portland St.,Portland State,Portland State,,
UC Davis,UC Davis,UC Davis,UC Davis,,
Penn,Penn,Penn,Pennsylvania,,
Austin Peay,Austin Peay,Austin Peay,Austin Peay,Austin Peay,
Miami (OH),Miami OH,Miami (OH),Miami-Ohio,,
Norfolk State,Norfolk St.,Norfolk State,Norfolk State,Norfolk State,
Arkansas State,Arkansas St.,Arkansas State,Arkansas State,,
South Alabama,South Alabama,South Alabama,South Alabama,,
Mount St Mary's,Mount St. Mary's,Mt St Mary's,Mount St. Mary's,,
Montana State,Montana St.,Montana State,Montana State,,
Boston College,Boston College,Boston College,Boston College,,
Rice,Rice,Rice,Rice,,
Houston Baptist,Houston Baptist,Houston Baptist,Houston Baptist,,
Eastern Illinois,Eastern Illinois,E Illinois,Eastern Illinois,,
UMKC,UMKC,UMKC,Kansas City(UMKC),,
St Francis (NY),St. Francis NY,St Francis (BKN),St. Francis-NY,,
Jacksonville,Jacksonville,Jacksonville,Jacksonville,,
Cornell,Cornell,Cornell,Cornell,,
Idaho State,Idaho St.,Idaho State,Idaho State,,
San Jose State,San Jose St.,San Jose State,San Jose State,,
Appalachian St,Appalachian St.,Appalachian St,Appalachian State,,
Youngstown St,Youngstown St.,Youngstown St,Youngstown State,,
CS Fullerton,Cal St. Fullerton,CS Fullerton,CS Fullerton,,
Lipscomb,Lipscomb,Lipscomb,Lipscomb,,
Fairleigh Dickinson,Fairleigh Dickinson,Fair Dickinson,Fairleigh Dickinson,,
South Carolina St,South Carolina St.,S Carolina St,SC State,,
Drake,Drake,Drake,Drake,,
San Diego,San Diego,San Diego,San Diego,,
Liberty,Liberty,Liberty,Liberty,,
Troy,Troy,Troy,Troy,,
Delaware,Delaware,Delaware,Delaware,,
Sacramento St,Sacramento St.,Sacramento St,Sacramento State,,
La Salle,La Salle,La Salle,La Salle,,
Loyola (MD),Loyola MD,Loyola (MD),Loyola-Maryland,,
Brown,Brown,Brown,Brown,,
Alabama State,Alabama St.,Alabama State,Alabama State,,
Utah Valley,Utah Valley,Utah Valley,Utah Valley,,
LIU Brooklyn,LIU Brooklyn,LIU Brooklyn,Long Island U.(LIU),,
Longwood,Longwood,Longwood,Longwood,,
Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,,
Campbell,Campbell,Campbell,Campbell,,
Marist,Marist,Marist,Marist,,
NC Central,North Carolina Central,NC Central,NC Central,,
Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,,
Bethune-Cookman,Bethune Cookman,Bethune-Cookman,Bethune-Cookman,,
Charleston So,Charleston Southern,Charleston So,Charleston Southern,,
Seattle,Seattle,Seattle,Seattle,,
St Francis (PA),St. Francis PA,St Francis (PA),Saint Francis-Pa.,,
Cleveland State,Cleveland St.,Cleveland State,Cleveland State,,
Alcorn State,Alcorn St.,Alcorn State,Alcorn State,,
North Texas,North Texas,North Texas,North Texas,,
Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,,
Stetson,Stetson,Stetson,Stetson,,
Morgan State,Morgan St.,Morgan State,Morgan State,,
Jacksonville St,Jacksonville St.,Jacksonville St,Jacksonville State,,
Florida Atlantic,Florida Atlantic,FAU,Florida Atlantic,,
Central Arkansas,Central Arkansas,Cent Arkansas,Central Arkansas,,
Robert Morris,Robert Morris,Robert Morris,Robert Morris,,
Rutgers,Rutgers,Rutgers,Rutgers,,
VMI,VMI,VMI,VMI,,
Savannah State,Savannah St.,Savannah State,Savannah State,,
SE Louisiana,Southeastern Louisiana,SE Louisiana,SE Louisiana,,
New Orleans,New Orleans,New Orleans,New Orleans,,
UMass Lowell,UMass Lowell,UMass Lowell,UMass Lowell,,
The Citadel,The Citadel,The Citadel,The Citadel,,
Lamar,Lamar,Lamar,Lamar,,
Abiline Christian,Abilene Christian,Abil Christian,Abilene Christian,,
American,American,American U,American U.,,
USC Upstate,USC Upstate,USC Upstate,USC Upstate,,
Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,
Southern Miss,Southern Miss,Southern Miss,Southern Miss,,
MD Eastern Shore,Maryland Eastern Shore,MD-E Shore,Md.-Eastern Shore(UMES),,
Northwestern St,Northwestern St.,Northwestern St,Northwestern State,,
Niagara,Niagara,Niagara,Niagara,,
N Colorado,Northern Colorado,N Colorado,Northern Colorado,,
SIU ED,SIU Edwardsville,SIU ED,SIU-Edwardsville,,
Lafayette,Lafayette,Lafayette,Lafayette,,
Binghamton,Binghamton,Binghamton,Binghamton-NY,,
Presbyterian,Presbyterian,Presbyterian,Presbyterian College,,
Howard,Howard,Howard,Howard,,
Coppin State,Coppin St.,Coppin State,Coppin State,,
Hartford,Hartford,Hartford,Hartford,,
UMBC,UMBC,UMBC,UMBC,,
UIC,Illinois Chicago,UIC,Illinois-Chicago,,
UTSA,UTSA,UTSA,UTSA,,
Maine,Maine,Maine,Maine,,
NC A&T,North Carolina A&T,NC A&T,NC A&T,,
McNeese State,McNeese St.,McNeese State,McNeese State,,
Bradley,Bradley,Bradley,Bradley,,
Nicholls State,Nicholls St.,Nicholls State,Nicholls State,,
N Arizona,Northern Arizona,N Arizona,Northern Arizona,,
SE Missouri St,Southeast Missouri St.,SE Missouri St,SE Missouri State(SEMO),,
Southern Utah,Southern Utah,Southern Utah,Southern Utah,,
Mississippi Valley St,Mississippi Valley St.,Miss Valley St,MVSU(Miss. Valley St.),,
Chicago State,Chicago St.,Chicago State,Chicago State,,
Prarie View A&M,Prairie View A&M,PV A&M,Prairie View A&M,,
Bryant,Bryant,Bryant,Bryant,,
UT Rio Grande,UT Rio Grande Valley,UT Rio Grande,UTRGV,,
AR Pine Bluff,Arkansas Pine Bluff,AR-Pine Bluff,Ark.-Pine Bluff,,
Delaware State,Delaware St.,Delaware State,Delaware State,,
Grambling St,Grambling St.,Grambling St,Grambling State,,
Florida A&M,Florida A&M,Florida A&M,Florida A&M,,
Central Connecticut St,Central Connecticut,Cent Conn St,Central Connecticut St.,,
