Name,Kenpom,PVA,Sagarin,AP,Coaches,Seed
St Francis (PA),0.2179,-6.8,62.03,,,
Cleveland State,0.2014,-5.9,63.54,,,
Alcorn State,0.2111,-8.1,58.16,,,
North Texas,0.2314,-6.2,63.02,,,
Alabama A&M,0.1828,-8.1,60.84,,,
Stetson,0.2865,-5.9,62.45,,,
Morgan State,0.1977,-8.0,61.63,,,
Jacksonville St,0.1997,-7.1,62.57,,,
Florida Atlantic,0.2096,-7.8,62.88,,,
Central Arkansas,0.1584,-8.4,59.0,,,
Robert Morris,0.1985,-7.5,61.42,,,
Rutgers,0.2225,-4.8,64.17,,,
VMI,0.1984,-7.5,60.06,,,
Savannah State,0.1617,-7.4,58.17,,,
SE Louisiana,0.1815,-8.1,60.71,,,
New Orleans,0.1725,-7.9,60.52,,,
UMass Lowell,0.1953,-8.6,60.53,,,
The Citadel,0.1888,-8.1,58.24,,,
Lamar,0.1711,-7.4,59.7,,,
Abiline Christian,0.1757,-7.6,59.75,,,
American,0.2027,-7.9,60.69,,,
USC Upstate,0.172,-8.6,59.5,,,
Holy Cross,0.2749,-6.0,63.35,,,16
Southern Miss,0.1942,-7.1,62.19,,,
MD Eastern Shore,0.1758,-8.5,60.1,,,
Northwestern St,0.1582,-8.9,59.31,,,
Niagara,0.166,-9.5,62.25,,,
N Colorado,0.1852,-7.4,61.06,,,
SIU ED,0.1677,-8.3,61.81,,,
Lafayette,0.1642,-10.6,59.75,,,
Binghamton,0.1661,-9.4,59.79,,,
Presbyterian,0.1421,-7.8,59.4,,,
Howard,0.1403,-8.3,59.47,,,
Coppin State,0.1514,-8.7,58.35,,,
Hartford,0.1826,-9.1,59.61,,,
UMBC,0.1472,-10.3,58.89,,,
UIC,0.1219,-10.0,58.34,,,
UTSA,0.1214,-11.8,57.54,,,
Maine,0.1381,-11.2,56.92,,,
NC A&T,0.1246,-11.0,57.13,,,
McNeese State,0.1491,-10.3,59.29,,,
Bradley,0.1277,-8.8,60.51,,,
Nicholls State,0.1606,-9.1,57.77,,,
N Arizona,0.1082,-10.2,56.15,,,
SE Missouri St,0.1156,-10.8,57.79,,,
Southern Utah,0.1212,-10.7,56.8,,,
Mississippi Valley St,0.1227,-12.2,54.98,,,
Chicago State,0.0703,-11.5,55.64,,,
Prarie View A&M,0.1321,-11.3,56.73,,,
Bryant,0.0993,-11.4,56.41,,,
UT Rio Grande,0.0876,-12.3,55.81,,,
AR Pine Bluff,0.0984,-12.2,54.97,,,
Delaware State,0.0739,-13.0,53.46,,,
Grambling St,0.0932,-12.0,54.25,,,
Florida A&M,0.0668,-15.1,52.75,,,
Central Connecticut St,0.067,-16.8,52.56,,,
